Name,Rating,Location
El Pintor,3.4,"Carrer de Sant Honorat, 7"
Fismuler,4.1,"Carrer del Rec Comtal, 17"
Born Voraz,4.3,"Carrer de la Princesa, 33"
La Taguara Areperia,4.3,"Carrer del Rec, 10"
Milano Cocktail Bar,4.2,"Ronda de la Universitat, 35"
Chaka Khan,4.1,"Carrer de l'Hospital, 104"
Las Ramblas,3.9,"Paseo la Rambla, 31"
Tablao Flamenco Cordobés,3.7,"Les Rambles, 35"
Wok to Walk,3.8,"Carrer de Jaume, I 7"
Benzina,4.5,"Passatge de Pere Calders, 6"
DelaCrem,4.6,"Carrer d'Enric Granados, 15"
El Portalón,4.0,"Carrer dels Banys Nous, 20"
Schilling,3.7,"Carrer de Ferran, 23"
Taller de Tapas,3.4,"Carrer de Argenteria, 51"
Oria,4.6,"Passeig de Gràcia, 75"
Maestró,4.1,"Rambla de Catalunya, 79"
El Jardí,4.8,"Carrer de la Portaferrissa, 17"
La Catalista,5.0,"Carrer dels Carders, 11"
Fratelli La Bufala,4.0,"Carrer de Pau Claris, 72"
Restaurante La Boqueria,3.4,"Carrer de la Boqueria, 17"
Mimo’s,4.8,"Carrer de l'Argenteria, 48"
Honest Greens,4.8,"Rambla de Catalunya, 3"
Pla de la Garsa,4.2,"Carrer dels Assaonadors, 13"
Rita Rouge,3.7,"Carrer del Carme, 33"
Farggi,4.6,"Carrer Veguer, 3"
Maoz Vegetarian,4.4,Rambla de Sant Josep 95
Scobies Irish Pub,4.4,"Ronda de la Universidad, 8"
Restaurant Spacca Napoli,4.6,"Carrer del Rec Comtal, 6"
Bubbolitas - Bubble Tea Bar,3.8,"Plaça del Bonsuccés, 7"
ATN,3.3,"Carrer de la Canuda, 6"
Bombay Spicy,4.1,"Carrer de Sant Pau, 16"
El Pachuco,4.6,"Carrer de Sant Pau, 110"
La Fianna,4.1,"Carrer de Manresa, 4"
Taller De Tapas,3.7,"La Rambla, 108"
Il Mercante di Venezia,4.6,"Carrer de Josep Anselm Clavé, 11"
Mimo's Born,4.6,"Plaça de Jacint Reventós, s/n"
Artisa,3.9,"Carrer de Colom, 2"
Xian,4.5,"Carrer de Ferran, 39"
Bodega Biarritz 1881,4.4,"Carrer del Vidre, 8"
Starbucks,3.7,"Rambla de Canaletes, 109"
Maccabi,4.1,"Carrer la Rambla, 75"
Le Pop Cocktail Bar,3.8,"Les Rambles, 111"
Exterior,5.0,Playa de Ocata ---
Celta,4.1,"Carrer de la Mercè, 9"
Casa Rafols,4.1,"Ronda de Sant Pere, 74"
Lizarran,4.0,"Carrer de Mallorca, 257"
Mucci's,3.7,"Carrer del Bonsuccés, 10"
Las Cuevas de Los Rajahs,4.5,"Carrer d'en Gignas, 2"
Mussol,3.5,"Carrer de Casp, 19"
Monvínic,4.1,"Carrer de la Diputació, 249"
Ca La Nuri,3.8,"Carrer de Consell de Cent, 377"
Ikibana Borne,3.9,"Passeig de Picasso, 32"
Tramoia,3.0,"Rambla de Catalunya, 15"
croasanteria i gelateria Llafranc,4.0,"Pza Promontori 11, Llafranc,"
La Cua Curta,4.7,"Carrer de Carassa, 3"
Doble Zeroo,4.2,"Carrer de Jaume Giralt, 53"
Celler de Tapas,3.8,"Plaça Universitat, 5"
Obama,3.5,"Gran Via de les Corts Catalanes, 603"
La Güerita,4.5,"Carrer de Manso, 53"
McDonald's,4.1,"Carrer de Ferran, 1"
Ten's,4.1,"Carrer Rec, 79"
El Reloj,3.3,"Via Laietana, 40"
Betawi,3.6,"Carrer de Montsió, 6"
Bo de B,4.3,"Carrer de la Fusteria, 14"
Txapela,3.5,"Plaça Catalunya, 8"
Bar Nolla,3.9,"Carrer del Consell de Cent, 339"
Fonda Espanya,4.5,"Carrer de Sant Pau, 9"
Bodega Granandos,3.9,"Carrer d'Enric Granados, 6"
Moments,4.1,"Passeig de Gràcia, 38"
Dunne's Irish Bar,3.4,"Via Laietana, 19-21"
Bun Bo,3.6,"Carrer dels Àngels, 6"
Nakashita,4.1,"Carrer del Rec Comtal, 15"
La Plaça Gastro Mercat,4.5,"Plaça de Catalunya, 14"
Story,4.8,"Carrer del Pou de la Cadena, 8"
Mirador de l'Arrabassada,5.0,"Carretera de l'Arrabassada, km 6,5"
Mucci's,3.9,"Carrer dels Tallers, 75"
Carballeira,3.8,"Carrer de la Reina Cristina, 3"
Kak Koy,3.8,"Carrer de Ripoll, 16"
Café de L'Academia,4.3,"Carrer dels Lledó, 1"
The Box,4.7,"Carrer d'En Gignàs, 30"
Buddha Bar,4.0,Parc de Olymb
365,4.2,"Via Laietana, 46"
Pizzeria Da Nanni,4.7,"Carrer de la Llibreteria, 10"
Arabia,3.8,"Carrer de Sant Pere Més Alt, 18"
La Taverneta,4.8,"Carrer de Francesc Pujols, 6"
Castells,4.1,"Plaça del Bonsuccés, 1"
Les Gens Que J'aime,4.5,"Carrer de València, 286"
Matsuri,3.9,"Plaza del Regomir , 1"
Forns del Pí,3.7,"Carrer de Ferran, 12"
La Cassola,4.7,"Carrer Sant Sever, 3"
Restaurante 4 Capellans,4.0,Capellans 4
The Ranch Smokehouse,4.1,"Ronda de la Universitat, 20"
Bon Bar,3.8,"Carrer de Fontanella, 16"
Casa Delfín,3.6,"Passeig del Born, 36"
Gringa,5.0,"Carrer de la Lleialtat, 16"
Kynoto,4.7,"Carrer del Correu Vell, 8"
Los Toreros,4.0,"Carrer d'en Xuclà, 3"
Café Kafka,4.6,"Carrer de la Fusina, 7"
L'Olivé,3.8,"Carrer de Balmes, 47"
Temple d'August,4.5,"Carrer del Paradís, 10"
Pez Gordo,4.9,"Portico De Sant Josep, 6"
Chongqing Liuyishou Hotpot,4.8,"Carrer del Consell de Cent, 303"
Ultramarinos,3.7,"Rambla dels Caputxins, 31"
Terrace la Isabela,4.7,"Les Rambles, 109"
Pitarra,4.2,"Carrer d'Avinyó, 56"
Alaire,4.4,"Passeig de Gràcia, 73"
El Pinar,4.6,"Carrer del Duc, 7"
Starbucks,3.3,"Carrer de Comtal, 26"
H1898 Rooftopbar,4.1,"Les Rambles, 109"
Bacaro,4.4,"Carrer de Jerusalem, 6"
Zeeshan Kebabish,4.2,"Carrer del Marques de Barbera, 26"
L'Antiquari,4.4,"Carrer del Veguer, 13"
El Chigre 1769,4.6,"Carrer dels Sombrerers, 7"
Loft del Born,3.8,"Plaça Comercial, 2"
Castillo aleman,5.0,
Club de l'empanada,4.1,"Carrer Dagueria, 7"
El Bosc de les Fades,3.9,"Passatge de la Banca, 5"
Loto,5.0,"Carrer del Call, 17"
Temaki-Ya,4.2,"Carrer d'en Gignàs, 28"
Nou Celler,4.1,"Carrer de Princesa, 16"
Bar Rubí,4.6,"Carrer Banys Vells, 6"
Parc de la Trinitat,5.0,
La Rita,3.9,"Carrer d'Aragó, 279"
Pim Pam Plats,3.9,"Carrer del Rec, 18"
Emilia,4.3,"La Rambla, 85"
Cremat 11,4.9,"Carrer Cremat Gran, 11"
Ramen Shop,4.0,"Carrer d'en Gignas, 3"
Lonja de Tapas,3.9,"Placeta Montcada, 5"
Cheese's Art,4.0,"Carrer d'Enric Granados, 13"
Takumi Sapporo Ramen Kitchen,4.5,"Via Laietana, 32"
Sagàs Pagesos i Cuiners,4.0,"Pla de Palau, 13"
Rita Blue,3.7,"Plaça de Sant Agustí, 3"
La Pizza del Tast,2.5,
Maccaroni,4.6,"Carrer Carders, 6"
Govinda,3.2,"Plaça de la Vila de Madrid, 4"
Bodega Sepúlveda,4.5,"Carrer de Sepúlveda, 173"
Ferran 59,3.6,"Carrer de Ferran, 59"
Moniberic,4.7,"Via Laietana, 46"
Bistrot el Regulador,4.7,"La Rambla, 105"
Rocambolesc,4.2,"La Rambla, 51-59"
Bar Centro,4.0,"Carrer de Casp, 55"
Little Italy,3.8,"Carrer del Rec, 30"
Bar Veraz,3.7,"Avinguda de Francesc Cambó, 14"
Espit Chupitos,4.4,"Paseo de Colón, 8"
Barcelona-Reykjavik,4.4,"Carrer del Doctor Dou, 12"
Clemen's,4.5,"La Rambla, 91"
Citrus,3.4,"Passeig de Gràcia, 44"
La Cerería,4.5,"Baixada de Sant Miquel, 3"
